reading_id,machine_id,sensor_type,value,unit,recorded_at
SR-P-104-003-rotational_speed,P-104,rotational_speed,1481.15,rpm,2026-07-23T10:15:00Z
SR-P-104-004-vibration_rms,P-104,vibration_rms,4.64,mm/s RMS,2026-07-23T10:20:00Z
SR-P-104-004-bearing_temperature,P-104,bearing_temperature,72.52,°C,2026-07-23T10:20:00Z
SR-P-104-004-motor_current,P-104,motor_current,24.41,A,2026-07-23T10:20:00Z
SR-P-104-004-suction_pressure,P-104,suction_pressure,1.58,bar,2026-07-23T10:20:00Z
SR-P-104-004-discharge_pressure,P-104,discharge_pressure,5.36,bar,2026-07-23T10:20:00Z
SR-P-104-004-flow_rate,P-104,flow_rate,105.9,m³/h,2026-07-23T10:20:00Z
SR-P-104-004-rotational_speed,P-104,rotational_speed,1480.64,rpm,2026-07-23T10:20:00Z
SR-P-104-005-vibration_rms,P-104,vibration_rms,4.95,mm/s RMS,2026-07-23T10:25:00Z
SR-P-104-005-bearing_temperature,P-104,bearing_temperature,73.61,°C,2026-07-23T10:25:00Z
SR-P-104-005-motor_current,P-104,motor_current,24.4,A,2026-07-23T10:25:00Z
SR-P-104-005-suction_pressure,P-104,suction_pressure,1.51,bar,2026-07-23T10:25:00Z
SR-P-104-005-discharge_pressure,P-104,discharge_pressure,5.28,bar,2026-07-23T10:25:00Z
SR-P-104-005-flow_rate,P-104,flow_rate,103.72,m³/h,2026-07-23T10:25:00Z
SR-P-104-005-rotational_speed,P-104,rotational_speed,1479.01,rpm,2026-07-23T10:25:00Z
SR-P-104-006-vibration_rms,P-104,vibration_rms,5.3,mm/s RMS,2026-07-23T10:30:00Z
SR-P-104-006-bearing_temperature,P-104,bearing_temperature,75.15,°C,2026-07-23T10:30:00Z
SR-P-104-006-motor_current,P-104,motor_current,24.58,A,2026-07-23T10:30:00Z
SR-P-104-006-suction_pressure,P-104,suction_pressure,1.47,bar,2026-07-23T10:30:00Z
SR-P-104-006-discharge_pressure,P-104,discharge_pressure,5.22,bar,2026-07-23T10:30:00Z
SR-P-104-006-flow_rate,P-104,flow_rate,101.62,m³/h,2026-07-23T10:30:00Z
SR-P-104-006-rotational_speed,P-104,rotational_speed,1478.08,rpm,2026-07-23T10:30:00Z
SR-P-104-007-vibration_rms,P-104,vibration_rms,5.68,mm/s RMS,2026-07-23T10:35:00Z
SR-P-104-007-bearing_temperature,P-104,bearing_temperature,76.58,°C,2026-07-23T10:35:00Z
SR-P-104-007-motor_current,P-104,motor_current,25.06,A,2026-07-23T10:35:00Z
SR-P-104-007-suction_pressure,P-104,suction_pressure,1.42,bar,2026-07-23T10:35:00Z
SR-P-104-007-discharge_pressure,P-104,discharge_pressure,5.18,bar,2026-07-23T10:35:00Z
SR-P-104-007-flow_rate,P-104,flow_rate,99.43,m³/h,2026-07-23T10:35:00Z
SR-P-104-007-rotational_speed,P-104,rotational_speed,1481.13,rpm,2026-07-23T10:35:00Z
SR-P-104-008-vibration_rms,P-104,vibration_rms,6.12,mm/s RMS,2026-07-23T10:40:00Z
SR-P-104-008-bearing_temperature,P-104,bearing_temperature,77.77,°C,2026-07-23T10:40:00Z
SR-P-104-008-motor_current,P-104,motor_current,25.13,A,2026-07-23T10:40:00Z
SR-P-104-008-suction_pressure,P-104,suction_pressure,1.37,bar,2026-07-23T10:40:00Z
SR-P-104-008-discharge_pressure,P-104,discharge_pressure,5.1,bar,2026-07-23T10:40:00Z
SR-P-104-008-flow_rate,P-104,flow_rate,97.72,m³/h,2026-07-23T10:40:00Z
SR-P-104-008-rotational_speed,P-104,rotational_speed,1481.52,rpm,2026-07-23T10:40:00Z
SR-P-104-009-vibration_rms,P-104,vibration_rms,6.43,mm/s RMS,2026-07-23T10:45:00Z
SR-P-104-009-bearing_temperature,P-104,bearing_temperature,79.13,°C,2026-07-23T10:45:00Z
SR-P-104-009-motor_current,P-104,motor_current,25.53,A,2026-07-23T10:45:00Z
SR-P-104-009-suction_pressure,P-104,suction_pressure,1.31,bar,2026-07-23T10:45:00Z
SR-P-104-009-discharge_pressure,P-104,discharge_pressure,5.09,bar,2026-07-23T10:45:00Z
SR-P-104-009-flow_rate,P-104,flow_rate,95.37,m³/h,2026-07-23T10:45:00Z
SR-P-104-009-rotational_speed,P-104,rotational_speed,1478.41,rpm,2026-07-23T10:45:00Z
SR-P-104-010-vibration_rms,P-104,vibration_rms,6.79,mm/s RMS,2026-07-23T10:50:00Z
SR-P-104-010-bearing_temperature,P-104,bearing_temperature,80.82,°C,2026-07-23T10:50:00Z
SR-P-104-010-motor_current,P-104,motor_current,25.65,A,2026-07-23T10:50:00Z
SR-P-104-010-suction_pressure,P-104,suction_pressure,1.26,bar,2026-07-23T10:50:00Z
SR-P-104-010-discharge_pressure,P-104,discharge_pressure,5.05,bar,2026-07-23T10:50:00Z
SR-P-104-010-flow_rate,P-104,flow_rate,93.08,m³/h,2026-07-23T10:50:00Z
SR-P-104-010-rotational_speed,P-104,rotational_speed,1481.61,rpm,2026-07-23T10:50:00Z
SR-P-104-011-vibration_rms,P-104,vibration_rms,7.14,mm/s RMS,2026-07-23T10:55:00Z
SR-P-104-011-bearing_temperature,P-104,bearing_temperature,82.07,°C,2026-07-23T10:55:00Z
SR-P-104-011-motor_current,P-104,motor_current,25.68,A,2026-07-23T10:55:00Z
SR-P-104-011-suction_pressure,P-104,suction_pressure,1.19,bar,2026-07-23T10:55:00Z
SR-P-104-011-discharge_pressure,P-104,discharge_pressure,4.96,bar,2026-07-23T10:55:00Z
SR-P-104-011-flow_rate,P-104,flow_rate,90.5,m³/h,2026-07-23T10:55:00Z
SR-P-104-011-rotational_speed,P-104,rotational_speed,1481.24,rpm,2026-07-23T10:55:00Z
SR-P-105-000-vibration_rms,P-105,vibration_rms,3.03,mm/s RMS,2026-07-23T10:00:00Z
SR-P-105-000-bearing_temperature,P-105,bearing_temperature,65.8,°C,2026-07-23T10:00:00Z
SR-P-105-000-motor_current,P-105,motor_current,23.05,A,2026-07-23T10:00:00Z
SR-P-105-000-suction_pressure,P-105,suction_pressure,1.85,bar,2026-07-23T10:00:00Z
SR-P-105-000-discharge_pressure,P-105,discharge_pressure,5.63,bar,2026-07-23T10:00:00Z
SR-P-105-000-flow_rate,P-105,flow_rate,114.49,m³/h,2026-07-23T10:00:00Z
SR-P-105-000-rotational_speed,P-105,rotational_speed,1479.13,rpm,2026-07-23T10:00:00Z
SR-P-105-001-vibration_rms,P-105,vibration_rms,3.19,mm/s RMS,2026-07-23T10:05:00Z
SR-P-105-001-bearing_temperature,P-105,bearing_temperature,67.19,°C,2026-07-23T10:05:00Z
SR-P-105-001-motor_current,P-105,motor_current,23.67,A,2026-07-23T10:05:00Z
SR-P-105-001-suction_pressure,P-105,suction_pressure,1.85,bar,2026-07-23T10:05:00Z
SR-P-105-001-discharge_pressure,P-105,discharge_pressure,5.57,bar,2026-07-23T10:05:00Z
SR-P-105-001-flow_rate,P-105,flow_rate,114.28,m³/h,2026-07-23T10:05:00Z
SR-P-105-001-rotational_speed,P-105,rotational_speed,1474.19,rpm,2026-07-23T10:05:00Z
SR-P-105-002-vibration_rms,P-105,vibration_rms,3.28,mm/s RMS,2026-07-23T10:10:00Z
SR-P-105-002-bearing_temperature,P-105,bearing_temperature,68.38,°C,2026-07-23T10:10:00Z
SR-P-105-002-motor_current,P-105,motor_current,24.78,A,2026-07-23T10:10:00Z
SR-P-105-002-suction_pressure,P-105,suction_pressure,1.88,bar,2026-07-23T10:10:00Z
SR-P-105-002-discharge_pressure,P-105,discharge_pressure,5.61,bar,2026-07-23T10:10:00Z
SR-P-105-002-flow_rate,P-105,flow_rate,114.86,m³/h,2026-07-23T10:10:00Z
SR-P-105-002-rotational_speed,P-105,rotational_speed,1469.57,rpm,2026-07-23T10:10:00Z
SR-P-105-003-vibration_rms,P-105,vibration_rms,3.46,mm/s RMS,2026-07-23T10:15:00Z
SR-P-105-003-bearing_temperature,P-105,bearing_temperature,68.82,°C,2026-07-23T10:15:00Z
SR-P-105-003-motor_current,P-105,motor_current,25.4,A,2026-07-23T10:15:00Z
SR-P-105-003-suction_pressure,P-105,suction_pressure,1.82,bar,2026-07-23T10:15:00Z
SR-P-105-003-discharge_pressure,P-105,discharge_pressure,5.61,bar,2026-07-23T10:15:00Z
SR-P-105-003-flow_rate,P-105,flow_rate,114.83,m³/h,2026-07-23T10:15:00Z
SR-P-105-003-rotational_speed,P-105,rotational_speed,1465.43,rpm,2026-07-23T10:15:00Z
SR-P-105-004-vibration_rms,P-105,vibration_rms,3.7,mm/s RMS,2026-07-23T10:20:00Z
SR-P-105-004-bearing_temperature,P-105,bearing_temperature,69.9,°C,2026-07-23T10:20:00Z
SR-P-105-004-motor_current,P-105,motor_current,26.35,A,2026-07-23T10:20:00Z
SR-P-105-004-suction_pressure,P-105,suction_pressure,1.88,bar,2026-07-23T10:20:00Z
SR-P-105-004-discharge_pressure,P-105,discharge_pressure,5.62,bar,2026-07-23T10:20:00Z
SR-P-105-004-flow_rate,P-105,flow_rate,113.26,m³/h,2026-07-23T10:20:00Z
SR-P-105-004-rotational_speed,P-105,rotational_speed,1461.99,rpm,2026-07-23T10:20:00Z
SR-P-105-005-vibration_rms,P-105,vibration_rms,3.84,mm/s RMS,2026-07-23T10:25:00Z
SR-P-105-005-bearing_temperature,P-105,bearing_temperature,71.08,°C,2026-07-23T10:25:00Z
SR-P-105-005-motor_current,P-105,motor_current,27.3,A,2026-07-23T10:25:00Z
SR-P-105-005-suction_pressure,P-105,suction_pressure,1.86,bar,2026-07-23T10:25:00Z
SR-P-105-005-discharge_pressure,P-105,discharge_pressure,5.6,bar,2026-07-23T10:25:00Z
SR-P-105-005-flow_rate,P-105,flow_rate,114.07,m³/h,2026-07-23T10:25:00Z
SR-P-105-005-rotational_speed,P-105,rotational_speed,1456.07,rpm,2026-07-23T10:25:00Z
SR-P-105-006-vibration_rms,P-105,vibration_rms,3.9,mm/s RMS,2026-07-23T10:30:00Z
SR-P-105-006-bearing_temperature,P-105,bearing_temperature,72.23,°C,2026-07-23T10:30:00Z
SR-P-105-006-motor_current,P-105,motor_current,27.89,A,2026-07-23T10:30:00Z
SR-P-105-006-suction_pressure,P-105,suction_pressure,1.83,bar,2026-07-23T10:30:00Z
SR-P-105-006-discharge_pressure,P-105,discharge_pressure,5.57,bar,2026-07-23T10:30:00Z
SR-P-105-006-flow_rate,P-105,flow_rate,113.36,m³/h,2026-07-23T10:30:00Z
SR-P-105-006-rotational_speed,P-105,rotational_speed,1450.95,rpm,2026-07-23T10:30:00Z
SR-P-105-007-vibration_rms,P-105,vibration_rms,4.19,mm/s RMS,2026-07-23T10:35:00Z
SR-P-105-007-bearing_temperature,P-105,bearing_temperature,72.72,°C,2026-07-23T10:35:00Z
SR-P-105-007-motor_current,P-105,motor_current,28.71,A,2026-07-23T10:35:00Z
SR-P-105-007-suction_pressure,P-105,suction_pressure,1.87,bar,2026-07-23T10:35:00Z
SR-P-105-007-discharge_pressure,P-105,discharge_pressure,5.63,bar,2026-07-23T10:35:00Z
SR-P-105-007-flow_rate,P-105,flow_rate,114.3,m³/h,2026-07-23T10:35:00Z
SR-P-105-007-rotational_speed,P-105,rotational_speed,1444.44,rpm,2026-07-23T10:35:00Z
SR-P-105-008-vibration_rms,P-105,vibration_rms,4.3,mm/s RMS,2026-07-23T10:40:00Z
SR-P-105-008-bearing_temperature,P-105,bearing_temperature,73.6,°C,2026-07-23T10:40:00Z
SR-P-105-008-motor_current,P-105,motor_current,29.43,A,2026-07-23T10:40:00Z
SR-P-105-008-suction_pressure,P-105,suction_pressure,1.84,bar,2026-07-23T10:40:00Z
SR-P-105-008-discharge_pressure,P-105,discharge_pressure,5.61,bar,2026-07-23T10:40:00Z
SR-P-105-008-flow_rate,P-105,flow_rate,113.59,m³/h,2026-07-23T10:40:00Z
SR-P-105-008-rotational_speed,P-105,rotational_speed,1439.11,rpm,2026-07-23T10:40:00Z
SR-P-105-009-vibration_rms,P-105,vibration_rms,4.43,mm/s RMS,2026-07-23T10:45:00Z
SR-P-105-009-bearing_temperature,P-105,bearing_temperature,75.32,°C,2026-07-23T10:45:00Z
SR-P-105-009-motor_current,P-105,motor_current,30.19,A,2026-07-23T10:45:00Z
SR-P-105-009-suction_pressure,P-105,suction_pressure,1.85,bar,2026-07-23T10:45:00Z
SR-P-105-009-discharge_pressure,P-105,discharge_pressure,5.62,bar,2026-07-23T10:45:00Z
SR-P-105-009-flow_rate,P-105,flow_rate,113.92,m³/h,2026-07-23T10:45:00Z
SR-P-105-009-rotational_speed,P-105,rotational_speed,1435.07,rpm,2026-07-23T10:45:00Z
SR-P-105-010-vibration_rms,P-105,vibration_rms,4.72,mm/s RMS,2026-07-23T10:50:00Z
SR-P-105-010-bearing_temperature,P-105,bearing_temperature,75.96,°C,2026-07-23T10:50:00Z
SR-P-105-010-motor_current,P-105,motor_current,31.18,A,2026-07-23T10:50:00Z
SR-P-105-010-suction_pressure,P-105,suction_pressure,1.88,bar,2026-07-23T10:50:00Z
SR-P-105-010-discharge_pressure,P-105,discharge_pressure,5.58,bar,2026-07-23T10:50:00Z
SR-P-105-010-flow_rate,P-105,flow_rate,114.41,m³/h,2026-07-23T10:50:00Z
SR-P-105-010-rotational_speed,P-105,rotational_speed,1431.31,rpm,2026-07-23T10:50:00Z
SR-P-105-011-vibration_rms,P-105,vibration_rms,4.86,mm/s RMS,2026-07-23T10:55:00Z
SR-P-105-011-bearing_temperature,P-105,bearing_temperature,77.1,°C,2026-07-23T10:55:00Z
SR-P-105-011-motor_current,P-105,motor_current,32.14,A,2026-07-23T10:55:00Z
SR-P-105-011-suction_pressure,P-105,suction_pressure,1.87,bar,2026-07-23T10:55:00Z
SR-P-105-011-discharge_pressure,P-105,discharge_pressure,5.58,bar,2026-07-23T10:55:00Z
SR-P-105-011-flow_rate,P-105,flow_rate,114.21,m³/h,2026-07-23T10:55:00Z
SR-P-105-011-rotational_speed,P-105,rotational_speed,1426.92,rpm,2026-07-23T10:55:00Z
